53,109761017,167,123.8,9.2,12.5,0.5,3
54,109761067,92,77,-5.8,-14,0.25,3
54,109761067,167,124.4,9.2,12.5,0.5,3
55,109761117,92,76.4,-5.8,-14,0.25,3
55,109761117,167,125,9.2,12.5,0.5,3
56,109761167,92,75.8,-5.8,-14,0.25,3
56,109761167,167,125.8,9.4,12.5,0.5,3
57,109761218,92,75,-5.8,-14,0.25,3
57,109761218,167,126.4,9.4,12.5,0.5,3
57,109761218,38,17.4,11.2,10.25,-0.5,3
58,109761267,92,74.4,-5.8,-14,0.25,3
58,109761267,167,127,9.4,12.5,0.5,3
58,109761267,38,17.8,11.2,10,-0.5,3
59,109761318,92,73.6,-5.8,-14,0.25,3
59,109761318,167,127.6,9.4,12.5,0.5,3
59,109761318,38,18.4,11.2,10.25,-0.25,3
60,109761367,92,73,-5.6,-14,0.25,3
60,109761367,38,18.8,11.2,10,-0.25,3
61,109761418,92,72.2,-5.8,-14,0.25,3
61,109761418,38,19.2,11.2,10,-0.25,3
62,109761467,92,71.6,-5.6,-14,0.25,3
62,109761467,38,19.6,11.2,10,-0.25,3
63,109761518,92,70.8,-5.6,-14,0.25,3
63,109761518,38,20.2,11.2,9.75,-0.25,3
63,109761518,89,29.2,2.2,16.75,-0.25,7
64,109761568,92,70.2,-5.6,-14,0.25,4
64,109761568,38,20.6,11.2,9.75,-0.25,3
64,109761568,89,30.4,2.2,16.75,-0.5,6
64,109761568,6,25.2,5.2,11.75,-0.75,4
65,109761617,92,69.4,-5.8,-14,0,3
65,109761617,89,31.2,2.2,16.75,-0.75,6
65,109761617,6,25.6,5.2,12,-0.5,4
66,109761668,92,68.8,-5.8,-14,0,3
66,109761668,89,32,2.2,16.5,-0.5,7
66,109761668,6,26.2,5.2,12,-0.5,4
67,109761717,92,68,-5.8,-14,0,4
67,109761717,89,32.8,2.2,16.75,-0.25,7
67,109761717,6,26.8,5.2,12,-0.5,4
68,109761768,92,67.4,-5.8,-14,0,4
68,109761768,89,33.6,2.2,16.75,-0.25,7
68,109761768,6,27.4,5.2,12,-0.5,5
69,109761818,92,66.8,-5.8,-14,0,4
69,109761818,89,34.4,2.2,16.75,-0.5,7
69,109761818,6,28,5.2,12,-0.5,5
69,109761818,38,22.8,11.2,9.75,0,3
70,109761868,92,66,-5.8,-14,0,4
70,109761868,89,35.2,2.2,16.75,-0.5,7
70,109761868,6,28.6,5.2,12,-0.5,6
70,109761868,38,23.2,11.2,9.5,0,3
71,109761918,92,65.4,-5.8,-14,0,4
71,109761918,89,36,2.2,16.75,-0.5,8
71,109761918,6,29.2,5.2,11.75,-0.5,6
71,109761918,38,23.8,11.2,9.75,0,3
72,109761968,92,64.6,-5.8,-14,0,4
72,109761968,89,36.8,2,16.75,-0.5,8
72,109761968,6,29.6,5.2,11.75,-0.5,7
72,109761968,38,24.2,11.2,9.75,0,3
73,109762017,92,64,-5.8,-14,0,4
73,109762017,89,37.6,2,16.5,-0.5,8
73,109762017,6,30.2,5,11.75,-0.5,7
73,109762017,38,24.6,11.2,9.75,0,3
74,109762068,92,63.2,-5.8,-14,0,4
74,109762068,89,38.6,2,16.5,-0.5,8
74,109762068,6,30.8,5,11.75,-0.5,7
74,109762068,38,25,11.2,9.75,0,3
75,109762118,92,62.6,-5.8,-14,0,4
75,109762118,89,39.4,2.2,16.75,-0.25,7
75,109762118,6,31.4,5,11.75,-0.5,7
75,109762118,38,25.6,11.4,9.5,0,3
76,109762168,92,61.8,-5.8,-14,0,4
76,109762168,89,40.2,2.2,16.5,-0.25,8
76,109762168,6,32,5.2,11.75,-0.5,7
76,109762168,38,26,11.4,9.5,0,3
77,109762218,92,61.2,-5.8,-14,0,4
77,109762218,89,41,2.2,16.75,-0.25,8
77,109762218,6,32.6,5.2,11.75,-0.5,7
77,109762218,38,26.4,11.4,9.5,0,3
78,109762267,92,60.6,-5.6,-14,0.25,4
78,109762267,89,41.8,2.2,16.75,-0.25,8
78,109762267,6,33.2,5,11.75,-0.5,7
78,109762267,38,26.8,11.4,9.5,0,3
79,109762318,92,59.8,-5.6,-14,0.25,4
79,109762318,89,42.6,2.2,16.5,-0.25,8
79,109762318,6,33.6,5.2,11.75,-0.5,7
